HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
41794	MIR1245B	microRNA 1245b	Approved		hsa-mir-1245b	2q32.2		NR_039947	MIR	MicroRNAs	476
35312	MIR1246	microRNA 1246	Approved	MIRN1246	hsa-mir-1246	2q31.1		NR_031648	MIR	MicroRNAs	476
35313	MIR1247	microRNA 1247	Approved	MIRN1247	hsa-mir-1247	14q32.31		NR_031649	MIR	MicroRNAs	476
35314	MIR1248	microRNA 1248	Approved	MIRN1248	hsa-mir-1248	3q27.3		NR_031650	MIR	MicroRNAs	476
35315	MIR1249	microRNA 1249	Approved	MIRN1249	hsa-mir-1249	22q13.31		NR_031651	MIR	MicroRNAs	476
35316	MIR1250	microRNA 1250	Approved	MIRN1250	hsa-mir-1250	17q25.3		NR_031652	MIR	MicroRNAs	476
35317	MIR1251	microRNA 1251	Approved	MIRN1251	hsa-mir-1251	12q23.1		NR_031653	MIR	MicroRNAs	476
35365	MIR1252	microRNA 1252	Approved	MIRN1252	hsa-mir-1252	12q21.2		NR_031700	MIR	MicroRNAs	476
35318	MIR1253	microRNA 1253	Approved	MIRN1253	hsa-mir-1253	17p13.3		NR_031654	MIR	MicroRNAs	476
35319	MIR1254-1	microRNA 1254-1	Approved	MIRN1254, MIR1254	hsa-mir-1254	10q21.3		NR_031655	MIR	MicroRNAs	476
41770	MIR1254-2	microRNA 1254-2	Approved		hsa-mir-1254-2	10p12.2		NR_039606	MIR	MicroRNAs	476
35320	MIR1255A	microRNA 1255a	Approved	MIRN1255A	hsa-mir-1255a	4q24		NR_031656	MIR	MicroRNAs	476
35366	MIR1255B1	microRNA 1255b-1	Approved	MIRN1255B1	hsa-mir-1255b-1	4p14		NR_031701	MIR	MicroRNAs	476
35367	MIR1255B2	microRNA 1255b-2	Approved	MIRN1255B2	hsa-mir-1255b-2	1q24.2		NR_031702	MIR	MicroRNAs	476
35321	MIR1256	microRNA 1256	Approved	MIRN1256	hsa-mir-1256	1p36.12		NR_031657	MIR	MicroRNAs	476
35322	MIR1257	microRNA 1257	Approved	MIRN1257	hsa-mir-1257	20q13.33		NR_031658	MIR	MicroRNAs	476
35323	MIR1258	microRNA 1258	Approved	MIRN1258	hsa-mir-1258	2q31.3		NR_031659	MIR	MicroRNAs	476
31505	MIR125A	microRNA 125a	Approved	MIRN125A	hsa-mir-125a	19q13.41		NR_029693	MIR	MicroRNAs	476
31506	MIR125B1	microRNA 125b-1	Approved	MIRN125B1	hsa-mir-125b-1	11q24.1		NR_029671	MIR	MicroRNAs	476
31507	MIR125B2	microRNA 125b-2	Approved	MIRN125B2	hsa-mir-125b-2	21q21.1		NR_029694	MIR	MicroRNAs	476
31508	MIR126	microRNA 126	Approved	MIRN126	hsa-mir-126	9q34.3		NR_029695	MIR	MicroRNAs	476
35325	MIR1260A	microRNA 1260a	Approved	MIRN1260, MIR1260	hsa-mir-1260	14q24.3		NR_031661	MIR	MicroRNAs	476
38258	MIR1260B	microRNA 1260b	Approved		hsa-mir-1260b	11q21		NR_036125	MIR	MicroRNAs	476
35327	MIR1261	microRNA 1261	Approved	MIRN1261	hsa-mir-1261	11q14.3		NR_031663	MIR	MicroRNAs	476
35328	MIR1262	microRNA 1262	Approved	MIRN1262	hsa-mir-1262	1p31.3		NR_031664	MIR	MicroRNAs	476
35329	MIR1263	microRNA 1263	Approved	MIRN1263	hsa-mir-1263	3q26.1		NR_031665	MIR	MicroRNAs	476
35246	MIR1264	microRNA 1264	Approved	MIRN1264	hsa-mir-1264	Xq23		NR_031563	MIR	MicroRNAs	476
35332	MIR1265	microRNA 1265	Approved	MIRN1265	hsa-mir-1265	10p13		NR_031668	MIR	MicroRNAs	476
35334	MIR1266	microRNA 1266	Approved	MIRN1266	hsa-mir-1266	15q21.2		NR_031670	MIR	MicroRNAs	476
35335	MIR1267	microRNA 1267	Approved	MIRN1267	hsa-mir-1267	13q33.3		NR_031671	MIR	MicroRNAs	476
35336	MIR1268A	microRNA 1268a	Approved	MIRN1268, MIR1268	hsa-mir-1268	15q11.2		NR_031672	MIR	MicroRNAs	476
41581	MIR1268B	microRNA 1268b	Approved		hsa-mir-1268b	17q25.3		NR_039607	MIR	MicroRNAs	476
35337	MIR1269A	microRNA 1269a	Approved	MIRN1269, MIR1269	hsa-mir-1269	4q13.2		NR_031673	MIR	MicroRNAs	476
41787	MIR1269B	microRNA 1269b	Approved		hsa-mir-1269b	17p12		NR_039747	MIR	MicroRNAs	476
31509	MIR127	microRNA 127	Approved	MIRN127	hsa-mir-127	14q32.2		NR_029696	MIR	MicroRNAs	476
35338	MIR1270	microRNA 1270	Approved	MIRN1270, MIR1270-2, MIR1270-1	hsa-mir-1270, hsa-mir-1270-2	19p12		NR_036053	MIR	MicroRNAs	476
35252	MIR1271	microRNA 1271	Approved	MIRN1271	hsa-mir-1271	5q35.2		NR_031569	MIR	MicroRNAs	476
35339	MIR1272	microRNA 1272	Approved	MIRN1272	hsa-mir-1272	15q22.31		NR_031674	MIR	MicroRNAs	476
35340	MIR1273A	microRNA 1273a	Approved	MIRN1273, MIR1273	hsa-mir-1273	8q22.2		NR_031675	MIR	MicroRNAs	476
38173	MIR1273C	microRNA 1273c	Approved		hsa-mir-1273c	6q25.2		NR_036100	MIR	MicroRNAs	476
38375	MIR1273D	microRNA 1273d	Approved		hsa-mir-1273d	1p36.22		NR_036176	MIR	MicroRNAs	476
41733	MIR1273F	microRNA 1273f	Approved		hsa-mir-1273f	1p32.3		NR_039971	MIR	MicroRNAs	476
41684	MIR1273G	microRNA 1273g	Approved		hsa-mir-1273g	1p32.3		NR_039972	MIR	MicroRNAs	476
49973	MIR1273H	microRNA 1273h	Approved		hsa-mir-1273h	16p12.1		NR_106996	MIR	MicroRNAs	476
35346	MIR1275	microRNA 1275	Approved	MIRN1275	hsa-mir-1275	6p21.31		NR_031681	MIR	MicroRNAs	476
35347	MIR1276	microRNA 1276	Approved	MIRN1276	hsa-mir-1276	15q25.3		NR_031682	MIR	MicroRNAs	476
35350	MIR1277	microRNA 1277	Approved	MIRN1277	hsa-mir-1277	Xq24		NR_031685	MIR	MicroRNAs	476
35356	MIR1278	microRNA 1278	Approved	MIRN1278	hsa-mir-1278	1q31.2		NR_031691	MIR	MicroRNAs	476
35357	MIR1279	microRNA 1279	Approved	MIRN1279	hsa-mir-1279	12q15		NR_031692	MIR	MicroRNAs	476
31510	MIR128-1	microRNA 128-1	Approved	MIRN128A, MIRN128-1	hsa-mir-128a, hsa-mir-128-1	2q21.3		NR_029672	MIR	MicroRNAs	476
31511	MIR128-2	microRNA 128-2	Approved	MIRN128B, MIRN128-2	hsa-mir-128b, hsa-mir-128-2	3p22.3		NR_029824	MIR	MicroRNAs	476
35359	MIR1281	microRNA 1281	Approved	MIRN1281	hsa-mir-1281	22q13.2		NR_031694	MIR	MicroRNAs	476
35360	MIR1282	microRNA 1282	Approved	MIRN1282	hsa-mir-1282	15q15.3		NR_031695	MIR	MicroRNAs	476
35255	MIR1283-1	microRNA 1283-1	Approved	MIRN1283-1	hsa-mir-1283-1	19q13.42		NR_031573	MIR	MicroRNAs	476
35361	MIR1283-2	microRNA 1283-2	Approved	MIRN1283-2	hsa-mir-1283-2	19q13.42		NR_031696	MIR	MicroRNAs	476
35362	MIR1284	microRNA 1284	Approved	MIRN1284	hsa-mir-1284	3p13		NR_031697	MIR	MicroRNAs	476
35277	MIR1285-1	microRNA 1285-1	Approved	MIRN1285-1	hsa-mir-1285-1	7q21.2		NR_031616	MIR	MicroRNAs	476
35278	MIR1285-2	microRNA 1285-2	Approved	MIRN1285-2	hsa-mir-1285-2	2p13.3		NR_031617	MIR	MicroRNAs	476
35279	MIR1286	microRNA 1286	Approved	MIRN1286	hsa-mir-1286	22q11.21		NR_031618	MIR	MicroRNAs	476
35280	MIR1287	microRNA 1287	Approved	MIRN1287	hsa-mir-1287	10q24.2		NR_031619	MIR	MicroRNAs	476
35363	MIR1288	microRNA 1288	Approved	MIRN1288	hsa-mir-1288	17p11.2		NR_031698	MIR	MicroRNAs	476
35281	MIR1289-1	microRNA 1289-1	Approved	MIRN1289-1	hsa-mir-1289-1	20q11.22		NR_031620	MIR	MicroRNAs	476
35282	MIR1289-2	microRNA 1289-2	Approved	MIRN1289-2	hsa-mir-1289-2	5q31.1		NR_031621	MIR	MicroRNAs	476
31512	MIR129-1	microRNA 129-1	Approved	MIRN129-1	hsa-mir-129-1	7q32.1		NR_029596	MIR	MicroRNAs	476
31513	MIR129-2	microRNA 129-2	Approved	MIRN129-2	hsa-mir-129-2	11p11.2		NR_029697	MIR	MicroRNAs	476
35283	MIR1290	microRNA 1290	Approved	MIRN1290	hsa-mir-1290	1p36.13		NR_031622	MIR	MicroRNAs	476
35284	MIR1291	microRNA 1291	Approved	MIRN1291	hsa-mir-1291	12q13.11		NR_031623	MIR	MicroRNAs	476
35364	MIR1292	microRNA 1292	Approved	MIRN1292	hsa-mir-1292	20p13		NR_031699	MIR	MicroRNAs	476
35286	MIR1293	microRNA 1293	Approved	MIRN1293	hsa-mir-1293	12q13.12		NR_031625	MIR	MicroRNAs	476
35287	MIR1294	microRNA 1294	Approved	MIRN1294	hsa-mir-1294	5q33.2		NR_031626	MIR	MicroRNAs	476
35288	MIR1295A	microRNA 1295a	Approved	MIRN1295, MIR1295	hsa-mir-1295	1q24.3		NR_031627	MIR	MicroRNAs	476
35249	MIR1296	microRNA 1296	Approved	MIRN1296	hsa-mir-1296	10q21.3		NR_031566	MIR	MicroRNAs	476
35289	MIR1297	microRNA 1297	Approved	MIRN1297	hsa-mir-1297	13q14.3		NR_031628	MIR	MicroRNAs	476
35258	MIR1298	microRNA 1298	Approved	MIRN1298	hsa-mir-1298	Xq23		NR_031578	MIR	MicroRNAs	476
35290	MIR1299	microRNA 1299	Approved	MIRN1299	hsa-mir-1299	9p11.2		NR_031629	MIR	MicroRNAs	476
35253	MIR1301	microRNA 1301	Approved	MIRN1301	hsa-mir-1301	2p23.3		NR_031570	MIR	MicroRNAs	476
35293	MIR1302-1	microRNA 1302-1	Approved	MIRN1302-1	hsa-mir-1302-1	12q24.13		NR_031631	MIR	MicroRNAs	476
38233	MIR1302-10	microRNA 1302-10	Approved		hsa-mir-1302-10	15q26.3		NR_036267	MIR	MicroRNAs	476
38246	MIR1302-11	microRNA 1302-11	Approved		hsa-mir-1302-11	19p13.3		NR_036268	MIR	MicroRNAs	476
35294	MIR1302-2	microRNA 1302-2	Approved	MIRN1302-2	hsa-mir-1302-2	1p36.33		NR_036051	MIR	MicroRNAs	476
35295	MIR1302-3	microRNA 1302-3	Approved	MIRN1302-3	hsa-mir-1302-3	2q14.1		NR_031632	MIR	MicroRNAs	476
35296	MIR1302-4	microRNA 1302-4	Approved	MIRN1302-4	hsa-mir-1302-4	2q33.3		NR_031633	MIR	MicroRNAs	476
35297	MIR1302-5	microRNA 1302-5	Approved	MIRN1302-5	hsa-mir-1302-5	20q13.13		NR_031634	MIR	MicroRNAs	476
35298	MIR1302-6	microRNA 1302-6	Approved	MIRN1302-6	hsa-mir-1302-6	7p21.1		NR_031635	MIR	MicroRNAs	476
35299	MIR1302-7	microRNA 1302-7	Approved	MIRN1302-7	hsa-mir-1302-7	8q24.3		NR_031636	MIR	MicroRNAs	476
35300	MIR1302-8	microRNA 1302-8	Approved	MIRN1302-8	hsa-mir-1302-8	9q22.33		NR_031637	MIR	MicroRNAs	476
38218	MIR1302-9	microRNA 1302-9	Approved		hsa-mir-1302-9	9p24.3		NR_036266	MIR	MicroRNAs	476
35301	MIR1303	microRNA 1303	Approved	MIRN1303	hsa-mir-1303	5q33.2		NR_031638	MIR	MicroRNAs	476
35302	MIR1304	microRNA 1304	Approved	MIRN1304	hsa-mir-1304	15q21.2		NR_031639	MIR	MicroRNAs	476
35303	MIR1305	microRNA 1305	Approved	MIRN1305	hsa-mir-1305	4q34.3		NR_031640	MIR	MicroRNAs	476
35371	MIR1306	microRNA 1306	Approved	MIRN1306	hsa-mir-1306	22q11.21		NR_031706	MIR	MicroRNAs	476
35372	MIR1307	microRNA 1307	Approved	MIRN1307	hsa-mir-1307	10q24.33		NR_031707	MIR	MicroRNAs	476
31514	MIR130A	microRNA 130a	Approved	MIRN130A	hsa-mir-130a	11q12.1		NR_029673	MIR	MicroRNAs	476
31515	MIR130B	microRNA 130b	Approved	MIRN130B	hsa-mir-130b	22q11.21		NR_029845	MIR	MicroRNAs	476
31516	MIR132	microRNA 132	Approved	MIRN132	hsa-mir-132	17p13.3		NR_029674	MIR	MicroRNAs	476
35373	MIR1321	microRNA 1321	Approved	MIRN1321	hsa-mir-1321	Xq21.2		NR_031710	MIR	MicroRNAs	476
35374	MIR1322	microRNA 1322	Approved	MIRN1322	hsa-mir-1322	8p23.1		NR_031711	MIR	MicroRNAs	476
35251	MIR1323	microRNA 1323	Approved	MIRN1323	hsa-mir-1323	19q13.42		NR_031568	MIR	MicroRNAs	476
35377	MIR1324	microRNA 1324	Approved	MIRN1324	hsa-mir-1324	3p12.3		NR_031714	MIR	MicroRNAs	476
31517	MIR133A1	microRNA 133a-1	Approved	MIRN133A1	hsa-mir-133a-1	18q11.2		NR_029675	MIR	MicroRNAs	476
31518	MIR133A2	microRNA 133a-2	Approved	MIRN133A2	hsa-mir-133a-2	20q13.33		NR_029676	MIR	MicroRNAs	476
31759	MIR133B	microRNA 133b	Approved	MIRN133B	hsa-mir-133b	6p12.2		NR_029903	MIR	MicroRNAs	476
31519	MIR134	microRNA 134	Approved	MIRN134	hsa-mir-134	14q32.31		NR_029698	MIR	MicroRNAs	476
41902	MIR1343	microRNA 1343	Approved		hsa-mir-1343	11p13		NR_039836	MIR	MicroRNAs	476
31520	MIR135A1	microRNA 135a-1	Approved	MIRN135-1, MIRN135A1	hsa-mir-135-1, hsa-mir-135a-1	3p21.2		NR_029677	MIR	MicroRNAs	476
31521	MIR135A2	microRNA 135a-2	Approved	MIRN135-2, MIRN135A2	hsa-mir-135-2, hsa-mir-135a-2	12q23.1		NR_029678	MIR	MicroRNAs	476
31760	MIR135B	microRNA 135b	Approved	MIRN135B	hsa-mir-135b	1q32.1		NR_029893	MIR	MicroRNAs	476
31522	MIR136	microRNA 136	Approved	MIRN136	hsa-mir-136	14q32.2		NR_029699	MIR	MicroRNAs	476
31523	MIR137	microRNA 137	Approved	MIRN137	hsa-mir-137, miR-137	1p21.3		NR_029679	MIR	MicroRNAs	476
31524	MIR138-1	microRNA 138-1	Approved	MIRN138-1	hsa-mir-138-1	3p21.32		NR_029700	MIR	MicroRNAs	476
31525	MIR138-2	microRNA 138-2	Approved	MIRN138-2	hsa-mir-138-2	16q13		NR_029680	MIR	MicroRNAs	476
31526	MIR139	microRNA 139	Approved	MIRN139	hsa-mir-139	11q13.4		NR_029603	MIR	MicroRNAs	476
31527	MIR140	microRNA 140	Approved	MIRN140	hsa-mir-140	16q22.1		NR_029681	MIR	MicroRNAs	476
31528	MIR141	microRNA 141	Approved	MIRN141	hsa-mir-141	12p13.31		NR_029682	MIR	MicroRNAs	476
31529	MIR142	microRNA 142	Approved	MIRN142	hsa-mir-142	17q22		NR_029683	MIR	MicroRNAs	476
31530	MIR143	microRNA 143	Approved	MIRN143	hsa-mir-143	5q32		NR_029684	MIR	MicroRNAs	476
31531	MIR144	microRNA 144	Approved	MIRN144	hsa-mir-144	17q11.2		NR_029685	MIR	MicroRNAs	476
31532	MIR145	microRNA 145	Approved	MIRN145	hsa-mir-145, MIR-145	5q32		NR_029686	MIR	MicroRNAs	476
35250	MIR1468	microRNA 1468	Approved	MIRN1468	hsa-mir-1468	Xq11.1		NR_031567	MIR	MicroRNAs	476
35378	MIR1469	microRNA 1469	Approved	MIRN1469	hsa-mir-1469	15q26.2		NR_031715	MIR	MicroRNAs	476
31533	MIR146A	microRNA 146a	Approved	MIRN146, MIRN146A	hsa-mir-146, hsa-mir-146a	5q33.3		NR_029701	MIR	MicroRNAs	476
32079	MIR146B	microRNA 146b	Approved	MIRN146B	hsa-mir-146b	10q24.32		NR_030169	MIR	MicroRNAs	476
35379	MIR1470	microRNA 1470	Approved	MIRN1470	hsa-mir-1470	19p13.12		NR_031716	MIR	MicroRNAs	476
35380	MIR1471	microRNA 1471	Approved	MIRN1471	hsa-mir-1471	2q37.1		NR_031717	MIR	MicroRNAs	476
31534	MIR147A	microRNA 147a	Approved	MIRN147, MIR147	hsa-mir-147	9q33.2		NR_029604	MIR	MicroRNAs	476
33655	MIR147B	microRNA 147b	Approved	MIRN147B	hsa-mir-147b	15q21.1		NR_030599	MIR	MicroRNAs	476
31535	MIR148A	microRNA 148a	Approved	MIRN148, MIRN148A	hsa-mir-148, hsa-mir-148a	7p15.2		NR_029597	MIR	MicroRNAs	476
31761	MIR148B	microRNA 148b	Approved	MIRN148B	hsa-mir-148b	12q13.13		NR_029894	MIR	MicroRNAs	476
31536	MIR149	microRNA 149	Approved	MIRN149	hsa-mir-149	2q37.3		NR_029702	MIR	MicroRNAs	476
31537	MIR150	microRNA 150	Approved	MIRN150	hsa-mir-150	19q13.33		NR_029703	MIR	MicroRNAs	476
31762	MIR151A	microRNA 151a	Approved	MIRN151, MIR151	hsa-mir-151	8q24.3		NR_029892	MIR	MicroRNAs	476
41588	MIR151B	microRNA 151b	Approved		hsa-mir-151b	14q32.2		NR_039601	MIR	MicroRNAs	476
31538	MIR152	microRNA 152	Approved	MIRN152	hsa-mir-152	17q21.32		NR_029687	MIR	MicroRNAs	476
31539	MIR153-1	microRNA 153-1	Approved	MIRN153-1	hsa-mir-153-1	2q35		NR_029688	MIR	MicroRNAs	476
31540	MIR153-2	microRNA 153-2	Approved	MIRN153-2	hsa-mir-153-2	7q36.3		NR_029689	MIR	MicroRNAs	476
35381	MIR1537	microRNA 1537	Approved	MIRN1537	hsa-mir-1537	1q42.3		NR_031718	MIR	MicroRNAs	476
35382	MIR1538	microRNA 1538	Approved	MIRN1538	hsa-mir-1538	16q22.1		NR_031719	MIR	MicroRNAs	476
35383	MIR1539	microRNA 1539	Approved	MIRN1539	hsa-mir-1539	18q21.1		NR_031720	MIR	MicroRNAs	476
31541	MIR154	microRNA 154	Approved	MIRN154	hsa-mir-154	14q32.31		NR_029704	MIR	MicroRNAs	476
31542	MIR155	microRNA 155	Approved	MIRN155	hsa-mir-155	21q21.3	AP000223	NR_030784	MIR	MicroRNAs	476
41596	MIR1587	microRNA 1587	Approved		hsa-mir-1587	Xp11.4		NR_039763	MIR	MicroRNAs	476
31543	MIR15A	microRNA 15a	Approved	MIRN15A	hsa-mir-15a	13q14.2		NR_029485	MIR	MicroRNAs	476
31544	MIR15B	microRNA 15b	Approved	MIRN15B	hsa-mir-15b	3q25.33		NR_029663	MIR	MicroRNAs	476
31545	MIR16-1	microRNA 16-1	Approved	MIRN16-1	hsa-mir-16-1	13q14.2		NR_029486	MIR	MicroRNAs	476
31546	MIR16-2	microRNA 16-2	Approved	MIRN16-2	hsa-mir-16-2	3q25.33		NR_029525	MIR	MicroRNAs	476
31547	MIR17	microRNA 17	Approved	MIRN17	hsa-mir-17	13q31.3		NR_029487	MIR	MicroRNAs	476
31590	MIR181A1	microRNA 181a-1	Approved	MIRN213, MIRN181A1	hsa-mir-213	1q32.1		NR_029626	MIR	MicroRNAs	476
31549	MIR181A2	microRNA 181a-2	Approved	MIRN181A, MIRN181A2	hsa-mir-181a	9q33.3		NR_029611	MIR	MicroRNAs	476
