chr19:15778978-15778978	chr19:15917978-15917978
chr17:10384719-10384719	chr17:10443994-10443994
chr17:24601442-24601442	chr17:27577316-27577316
chr19:58359997-58359997	chr19:53668185-53668185
chr14:104548802-104548802	chr14:105477757-105477757
chr8:26267949-26267949	chr8:26212032-26212032
chr10:34711766-34711766	chr10:34671760-34671760
chr19:2205190-2205190	chr19:2254190-2254190
chr4:5750255-5750255	chr4:5699354-5699354
chr11:92767347-92767347	chr11:93127699-93127699
chr1:13541712-13541712	chr1:13669125-13669125
chr12:3635764-3635764	chr12:3765503-3765503
chr18:59475201-59475201	chr18:61324221-61324221
chr10:68051521-68051521	chr10:68381515-68381515
chr15:71196012-71196012	chr15:73408959-73408959
chr2:26552400-26552400	chr2:26698896-26698896
chr17:31455455-31455455	chr17:34431342-34431342
chr3:139896378-139896378	chr3:138413688-138413688
chr1:239827735-239827735	chr1:241761112-241761112
chr10:81642836-81642836	chr10:81652856-81652856
chr2:206749812-206749812	chr2:207041567-207041567
chr17:53795918-53795918	chr17:56440919-56440919
chr20:28226044-28226044	chr20:29612383-29612383
chr11:10571661-10571661	chr11:10615085-10615085
chr7:107413710-107413710	chr7:107626474-107626474
chr1:155112066-155112066	chr1:156845442-156845442
chr3:29451396-29451396	chr3:29476392-29476392
chr2:112785885-112785885	chr2:113069414-113069414
chr2:28675079-28675079	chr2:28821575-28821575
chr2:201200367-201200367	chr2:201492122-201492122
chr5:36158785-36158785	chr5:36123028-36123028
chr3:172877216-172877216	chr3:171394522-171394522
chr8:51611911-51611911	chr8:51449358-51449358
chr11:128344581-128344581	chr11:128839371-128839371
chr19:17286149-17286149	chr19:17425149-17425149
chr14:22676970-22676970	chr14:23607130-23607130
chr14:19414703-19414703	chr14:20344863-20344863
chrX:119177055-119177055	chrX:119293027-119293027
chr1:212722689-212722689	chr1:214656066-214656066
chr1:205106525-205106525	chr1:207039902-207039902
chr16:30415286-30415286	chr16:30507785-30507785
chr1:163449582-163449582	chr1:165182958-165182958
chr6:17737059-17737059	chr6:17629080-17629080
chr1:12331893-12331893	chr1:12409306-12409306
chrX:39817388-39817388	chrX:39932444-39932444
chr16:20882110-20882110	chr16:20974609-20974609
chr10:73248481-73248481	chr10:73578475-73578475
chr9:100510615-100510615	chr9:101470794-101470794
chr6:57121028-57121028	chr6:57013069-57013069
chr10:51562663-51562663	chr10:51892657-51892657
chr12:93321160-93321160	chr12:94797029-94797029
chr4:96382645-96382645	chr4:96163622-96163622
chr15:84608743-84608743	chr15:86807739-86807739
chr4:90388003-90388003	chr4:90168980-90168980
chr1:156431991-156431991	chr1:158165367-158165367
chr11:93774044-93774044	chr11:94134396-94134396
chr1:11986665-11986665	chr1:12064078-12064078
chr1:70672192-70672192	chr1:70899604-70899604
chr4:96441874-96441874	chr4:96222851-96222851
chr7:150551992-150551992	chr7:150921059-150921059
chr8:10427944-10427944	chr8:10390534-10390534
chr12:119919013-119919014	chr12:121434630-121434631
chr12:21903836-21903836	chr12:22012569-22012569
chr14:64024371-64024371	chr14:64954618-64954618
chr5:7948940-7948940	chr5:7895940-7895940
chr11:104410292-104410292	chr11:104905082-104905082
chr2:176690249-176690249	chr2:176982003-176982003
chr4:238350-238350	chr4:248350-248350
chr7:31829235-31829235	chr7:31862710-31862710
chr1:153297143-153297143	chr1:155030519-155030519
chr17:46935519-46935519	chr17:49580520-49580520
chr17:72285874-72285874	chr17:74774279-74774279
chr12:50393180-50393180	chr12:52106913-52106913
chr1:43598078-43598078	chr1:43825491-43825491
chr8:2863406-2863406	chr8:2875999-2875999
chr1:149526104-149526115	chr1:151259480-151259491
chr2:114193265-114193265	chr2:114476795-114476795
chr13:59939408-59939408	chr13:61041407-61041407
chr16:66415030-66415055	chr16:67857529-67857554
chr15:42663446-42663446	chr15:44876154-44876154
chr15:41359269-41359269	chr15:43571977-43571977
chr1:177630877-177630884	chr1:179364254-179364261
chr11:1006890-1006890	chr11:1016890-1016890
chr4:90388041-90388041	chr4:90169018-90169018
chr1:75988723-75988723	chr1:76216135-76216135
chr7:57192236-57192236	chr7:57188294-57188294
chrX:138736630-138736630	chrX:138908964-138908964
chr1:158170841-158170841	chr1:159904217-159904217
chr12:51331702-51331702	chr12:53045435-53045435
chr3:115552388-115552388	chr3:114069698-114069698
chr1:103203636-103203636	chr1:103431048-103431048
chr4:72642356-72642356	chr4:72423492-72423492
chrX:125513676-125513676	chrX:125685995-125685995
chr2:84633556-84633556	chr2:84780045-84780045
chr12:55192138-55192138	chr12:56905871-56905871
chr2:201839737-201839737	chr2:202131492-202131492
chr12:67421890-67421890	chr12:69135623-69135623
chrX:49741560-49741560	chrX:49854820-49854820
chr3:188243695-188243695	chr3:186761001-186761001
chr21:13391617-13391617	chr21:14469746-14469746
chr7:39572547-39572547	chr7:39606022-39606022
chr11:3661233-3661233	chr11:3704657-3704657
chr11:65471533-65471533	chr11:65714957-65714957
chrX:130506551-130506551	chrX:130678870-130678870
chr1:70261434-70261434	chr1:70488846-70488846
chr8:105579132-105579132	chr8:105509956-105509956
chrX:48647551-48647551	chrX:48762607-48762607
chr1:154887914-154887914	chr1:156621290-156621290
chr1:194982868-194982868	chr1:196716245-196716245
chrX:122868554-122868554	chrX:123040873-123040873
chr7:23760553-23760553	chr7:23794028-23794028
chr3:172845438-172845438	chr3:171362744-171362744
chr2:86108155-86108155	chr2:86254644-86254644
chr7:72365202-72365202	chr7:72727266-72727266
chr1:45853624-45853624	chr1:46081037-46081037
chr13:51228521-51228521	chr13:52330520-52330520
chr2:130937852-130937852	chr2:131221382-131221382
chr1:15825782-15825782	chr1:15953195-15953195
chr5:33563204-33563204	chr5:33527447-33527447
chr2:211172483-211172483	chr2:211464238-211464238
chr7:100028531-100028531	chr7:100190595-100190595
chrX:92814037-92814037	chrX:92927381-92927381
chr11:5329908-5329908	chr11:5373332-5373332
chr14:87724170-87724170	chr14:88654417-88654417
chr20:3277236-3277236	chr20:3329236-3329236
chr19:47779287-47779287	chr19:43087447-43087447
chr12:115070798-115070801	chr12:116586415-116586418
chrMT:9413-9413	NA
chr16:56358315-56358315	chr16:57800814-57800814
chr13:75307452-75307452	chr13:76409451-76409451
chr3:111884554-111884554	chr3:110401864-110401864
chr19:4403483-4403483	chr19:4452483-4452483
chr11:64379512-64379512	chr11:64622936-64622936
chr5:122182576-122182576	chr5:122154677-122154677
chr1:45931868-45931868	chr1:46159281-46159281
chr6:32047992-32047992	chr6:31940013-31940013
chr22:20607647-20607647	chr22:22277647-22277647
chr2:196468060-196468060	chr2:196759815-196759815
chr22:38613424-38613424	chr22:40283478-40283478
chr19:44382943-44382943	chr19:39691103-39691103
chr2:136274708-136274708	chr2:136558238-136558238
chr9:86532600-86532600	chr9:87342780-87342780
chr12:108718771-108718771	chr12:110234388-110234388
chr3:49134182-49134182	chr3:49159178-49159178
chr17:64536303-64536303	chr17:67024708-67024708
chr12:33470374-33470374	chr12:33579107-33579107
chr18:50409467-50409467	chr18:52258469-52258469
chr1:110003231-110003231	chr1:110201708-110201708
chr19:44281016-44281016	chr19:39589176-39589176
chr21:43661210-43661210	chr21:44836782-44836782
chr10:105830418-105830418	chr10:105840428-105840428
chr9:121040847-121040847	chr9:122001026-122001026
chr3:49438722-49438722	chr3:49463718-49463718
chrX:122360286-122360286	chrX:122532605-122532605
chr9:126773902-126773902	chr9:127734081-127734081
chr17:37264303-37264303	chr17:40010777-40010777
chr12:55676008-55676008	chr12:57389741-57389741
chr12:6580434-6580434	chr12:6710173-6710173
chr7:90733069-90733069	chr7:90895133-90895133
chr17:18095497-18095497	chr17:18154772-18154772
chr5:140548111-140548111	chr5:140567927-140567927
chr10:115647941-115647941	chr10:115657951-115657951
chr11:55683539-55683539	chr11:55926963-55926963
chr16:23343608-23343608	chr16:23436107-23436107
chr14:93637975-93637975	chr14:94568222-94568222
chr3:13652996-13652996	chr3:13677995-13677995
chr7:87375139-87375139	chr7:87537203-87537203
chr9:111239016-111239016	chr9:112199195-112199195
chr1:231188666-231188666	chr1:233122043-233122043
chr18:48937754-48937754	chr18:50683756-50683756
chr7:142350787-142350787	chr7:142640665-142640665
chr2:234317103-234317103	chr2:234652364-234652364
chr17:62457514-62457514	chr17:65027052-65027052
chr1:20371895-20371895	chr1:20499308-20499308
chr3:109590514-109590514	chr3:108107824-108107824
chr6:29450665-29450665	chr6:29342686-29342686
chr5:179267421-179267421	chr5:179334815-179334815
chrMT:4419-4419	NA
chr7:91969330-91969330	chr7:92131394-92131394
chr2:68123620-68123620	chr2:68270116-68270116
chr9:136856294-136856294	chr9:137716473-137716473
chr8:124096919-124096919	chr8:124027738-124027738
chr15:73286172-73286172	chr15:75499119-75499119
chrX:71708650-71708650	chrX:71791925-71791925
chr16:3580728-3580728	chr16:3640727-3640727
chrX:19516577-19516577	chrX:19606656-19606656
chr10:125504200-125504200	chr10:125514210-125514210
chr17:7518276-7518276	chr17:7577551-7577551
chr7:65621148-65621148	chr7:65983713-65983713
chrX:71763559-71763559	chrX:71846834-71846834
chr1:3534917-3534917	chr1:3545057-3545057
chr1:199741605-199741605	chr1:201474982-201474982
chr6:158458820-158458820	chr6:158538832-158538832
chr5:85628062-85628062	chr5:85592306-85592306
chr2:136386560-136386560	chr2:136670090-136670090
chr12:47713736-47713736	chr12:49427469-49427469
chr17:7518997-7518997	chr17:7578272-7578272
chr5:63292912-63292912	chr5:63257156-63257156
chr6:56615536-56615536	chr6:56507577-56507577
chr17:24818324-24818324	chr17:27794198-27794198
chr19:43629235-43629235	chr19:38937395-38937395
chr3:115272266-115272266	chr3:113789576-113789576
chr20:13711219-13711219	chr20:13763219-13763219
chr5:140161473-140161473	chr5:140181289-140181289
chr7:4867217-4867217	chr7:4900691-4900691
chrNT_113901:48962-48962	NA
chr9:112210144-112210144	chr9:113170323-113170323
chr1:246751628-246751628	chr1:248685005-248685005
chr20:45324550-45324550	chr20:45891143-45891143
chr17:3601886-3601886	chr17:3655137-3655137
chr1:242813807-242813807	chr1:244747184-244747184
chr11:60731618-60731618	chr11:60975042-60975042
chr6:88308366-88308366	chr6:88251647-88251647
chr1:200064968-200064968	chr1:201798345-201798345
chr2:202248229-202248229	chr2:202539984-202539984
chr1:109851650-109851650	chr1:110050127-110050127
chr9:67944953-67944953	chr9:68455133-68455133
chr1:27205759-27205759	chr1:27333172-27333172
chr1:150542992-150542992	chr1:152276368-152276368
chr5:178342698-178342698	chr5:178410092-178410092
chr12:80171238-80171238	chr12:81647107-81647107
chr2:21088927-21088927	chr2:21235422-21235422
chr12:50379638-50379638	chr12:52093371-52093371
chr20:33562667-33562667	chr20:34099253-34099253
chr22:36575326-36575326	chr22:38245380-38245380
chr2:201063278-201063278	chr2:201355033-201355033
chr14:21203842-21203842	chr14:22134002-22134002
chr1:169319331-169319331	chr1:171052707-171052707
chr9:135551299-135551299	chr9:136561478-136561478
chr11:93436458-93436458	chr11:93796810-93796810
chr20:33553854-33553854	chr20:34090440-34090440
chr5:140155043-140155043	chr5:140174859-140174859
chr1:208041248-208041248	chr1:209974625-209974625
chr16:23553870-23553870	chr16:23646369-23646369
chr11:49931107-49931107	chr11:49974531-49974531
chr17:69862585-69862585	chr17:72350990-72350990
chrX:46217211-46217211	chrX:46332267-46332267
chr17:7422468-7422468	chr17:7481744-7481744
chr7:111185984-111185984	chr7:111398748-111398748
chr3:64619317-64619317	chr3:64644277-64644277
chr1:227688813-227688813	chr1:229622190-229622190
chrX:107862523-107862525	chrX:107975867-107975869
chr11:31072182-31072182	chr11:31115606-31115606
chr11:68504212-68504212	chr11:68747636-68747636
chr4:77222515-77222515	chr4:77003491-77003491
chr2:219387382-219387382	chr2:219679138-219679138
chr19:11588511-11588511	chr19:11727511-11727511
chr11:120489546-120489546	chr11:120984336-120984336
chr10:1558842-1558842	chr10:1568842-1568842
chr15:38447072-38447072	chr15:40659780-40659780
chr2:133259467-133259467	chr2:133542997-133542997
chr7:5305520-5305520	chr7:5338994-5338994
chr14:76326728-76326728	chr14:77256975-77256975
chr9:116430344-116430346	chr9:117390523-117390525
chr19:8222031-8222031	chr19:8316031-8316031
chr17:7517750-7517750	chr17:7577025-7577025
chr7:102731609-102731609	chr7:102944373-102944373
chr16:61942419-61942419	chr16:63384918-63384918
chr18:18249757-18249757	chr18:19995759-19995759
chr14:104685720-104685720	chr14:105614675-105614675
chr14:87724171-87724171	chr14:88654418-88654418
chrMT:10099-10099	NA
chr15:46326427-46326427	chr15:48539135-48539135
chr9:135651391-135651391	chr9:136661570-136661570
chr2:61028697-61028697	chr2:61175193-61175193
chr15:76362919-76362919	chr15:78575864-78575864
chr8:25317066-25317066	chr8:25261149-25261149
chr1:160056091-160056091	chr1:161789467-161789467
chr3:11034642-11034642	chr3:11059642-11059642
chr19:11484906-11484906	chr19:11623906-11623906
chr4:80465511-80465511	chr4:80246487-80246487
chr3:150773393-150773393	chr3:149290703-149290703
chr1:26563874-26563897	chr1:26691287-26691310
chr3:49115789-49115789	chr3:49140785-49140785
chr5:140735753-140735753	chr5:140755569-140755569
chr1:246856593-246856593	chr1:248789970-248789970
chr11:63750947-63750947	chr11:63994371-63994371
chr5:140243480-140243480	chr5:140263296-140263296
chr1:41820959-41820959	chr1:42048372-42048372
chr15:76856170-76856170	chr15:79069115-79069115
chr2:207512601-207512601	chr2:207804356-207804356
chr16:65784480-65784480	chr16:67226979-67226979
chr17:10257976-10257976	chr17:10317251-10317251
chr17:20598413-20598422	chr17:20657821-20657830
chr2:230842900-230842900	chr2:231134656-231134656
chr2:121425470-121425470	chr2:121709000-121709000
chr1:46821527-46821527	chr1:47048940-47048940
chr6:18229851-18229851	chr6:18121872-18121872
chr12:5024724-5024724	chr12:5154463-5154463
chr20:33726396-33726396	chr20:34262982-34262982
chr16:87873664-87873664	chr16:89346163-89346163
chr7:50573114-50573114	chr7:50605620-50605620
chr19:52234231-52234231	chr19:47542391-47542391
chr10:70315169-70315169	chr10:70645163-70645163
chr12:8913026-8913026	chr12:9021759-9021759
chr9:112602595-112602595	chr9:113562774-113562774
chr3:48476769-48476769	chr3:48501765-48501765
chr2:178644816-178644816	chr2:178936570-178936570
chr2:128617186-128617186	chr2:128900716-128900716
chr3:121536445-121536445	chr3:120053755-120053755
chrX:152937717-152937717	chrX:153284523-153284523
chr16:76569061-76569061	chr16:78011560-78011560
chr7:91470134-91470134	chr7:91632198-91632198
chr4:71727841-71727841	chr4:71508977-71508977
chr5:169387499-169387499	chr5:169454921-169454921
chr16:70163483-70163483	chr16:71605982-71605982
chr1:202466204-202466204	chr1:204199581-204199581
chr11:119675563-119675563	chr11:120170353-120170353
chr13:99751817-99751817	chr13:100953816-100953816
chr2:232101369-232101369	chr2:232393125-232393125
chr3:49025046-49025046	chr3:49050042-49050042
chr22:36029287-36029292	chr22:37699341-37699346
chr3:124940438-124940438	chr3:123457748-123457748
chr11:4781456-4781456	chr11:4824880-4824880
chr5:150911307-150911307	chr5:150931114-150931114
chr22:36451137-36451137	chr22:38121191-38121191
chr6:80831775-80831775	chr6:80775056-80775056
chr2:174883300-174883300	chr2:175175054-175175054
chr6:52739046-52739046	chr6:52631087-52631087
chr5:38442852-38442852	chr5:38407095-38407095
chr17:71529174-71529174	chr17:74017579-74017579
chr7:45111776-45111776	chr7:45145251-45145251
chr8:67203193-67203193	chr8:67040639-67040639
chr3:57106922-57106922	chr3:57131882-57131882
chr9:124564331-124564331	chr9:125524510-125524510
chrX:152591429-152591429	chrX:152938235-152938235
chr2:43672639-43672639	chr2:43819135-43819135
chr8:126103325-126103325	chr8:126034143-126034143
chr14:23662080-23662080	chr14:24592240-24592240
chr2:189609596-189609596	chr2:189901351-189901351
chr10:92499131-92499131	chr10:92509151-92509151
chr2:234097915-234097915	chr2:234433176-234433176
chr13:100519134-100519134	chr13:101721133-101721133
chr17:24258750-24258750	chr17:27234624-27234624
chr16:8895946-8895946	chr16:8988445-8988445
chr2:213580495-213580495	chr2:213872250-213872250
chr16:69653689-69653689	chr16:71096188-71096188
chr7:73390934-73390934	chr7:73752998-73752998
chr9:103278972-103278972	chr9:104239151-104239151
chr11:116330020-116330020	chr11:116824810-116824810
chr14:92751343-92751373	chr14:93681590-93681620
chr12:48653470-48653470	chr12:50367203-50367203
chr1:110094922-110094922	chr1:110293399-110293399
chr2:106681463-106681463	chr2:107315031-107315031
chr2:165463418-165463418	chr2:165755172-165755172
chr19:44574005-44574005	chr19:39882165-39882165
chr18:30692360-30692360	chr18:32438362-32438362
chr10:50200678-50200678	chr10:50530672-50530672
chr7:150077933-150077933	chr7:150447000-150447000
chr19:61061697-61061697	chr19:56369885-56369885
chr9:137127668-137127668	chr9:137987847-137987847
chr19:56695209-56695209	chr19:52003397-52003397
chr5:140704076-140704076	chr5:140723892-140723892
chr2:169471472-169471472	chr2:169763226-169763226
chr20:60317822-60317822	chr20:60884427-60884427
chr14:69489910-69489910	chr14:70420157-70420157
chr2:227623028-227623028	chr2:227914784-227914784
chr1:153557484-153557484	chr1:155290860-155290860
chr2:23831028-23831028	chr2:23977524-23977524
chr15:30110409-30110409	chr15:32323117-32323117
chr11:74585234-74585234	chr11:74907586-74907586
chr19:10265451-10265451	chr19:10404451-10404451
chrX:85227270-85227270	chrX:85340614-85340614
chr18:26973708-26973714	chr18:28719710-28719716
chr3:52797312-52797312	chr3:52822272-52822272
chr14:70337290-70337290	chr14:71267537-71267537
chr2:173060957-173060957	chr2:173352711-173352711
chr1:20318555-20318555	chr1:20445968-20445968
chr11:7827210-7827210	chr11:7870634-7870634
chr3:138056095-138056095	chr3:136573405-136573405
chr6:4014563-4014563	chr6:4069564-4069564
chr16:15603385-15603385	chr16:15695884-15695884
chr12:21222808-21222808	chr12:21331541-21331541
chr16:71385713-71385713	chr16:72828212-72828212
chr5:79066188-79066188	chr5:79030432-79030432
chr16:2313601-2313601	chr16:2373600-2373600
chr2:44366600-44366600	chr2:44513096-44513096
chr6:41641602-41641602	chr6:41533624-41533624
chr2:55415071-55415071	chr2:55561567-55561567
chr16:33287505-33287505	chr16:33380004-33380004
chr19:17389023-17389032	chr19:17528023-17528032
chrX:47318393-47318393	chrX:47433449-47433449
chr21:41569392-41569392	chr21:42647522-42647522
chr11:6106501-6106501	chr11:6149925-6149925
chr5:55240210-55240210	chr5:55204453-55204453
chr19:20519579-20519579	chr19:20727739-20727739
chr1:37747699-37747699	chr1:37975112-37975112
chr2:131777147-131777147	chr2:132060677-132060677
chr10:50497779-50497779	chr10:50827773-50827773
chr14:105000926-105000926	chr14:105929881-105929881
chr2:227913268-227913268	chr2:228205024-228205024
chrX:69170098-69170098	chrX:69253373-69253373
chr19:15134310-15134310	chr19:15273310-15273310
